period,duration,bls_ld,tcf_ld
0.5,0.5,0.03,0.01534483
1.0,0.5,0.03,0.01706897
4.0,0.5,0.03,0.01362069
7.0,0.5,0.03,0.02051724
10.0,0.5,0.03,0.01448276
13.0,0.5,NA,NA

0.5,1,0.02655172,0.01706897
1.0,1,0.0300000,0.0187931
4.0,1,0.02655172,0.01448276
7.0,1,0.03000000,0.02224138
10.0,1,0.03000000,0.01534483
13.0,1,0.03000000,0.02137931

0.5,2,0.02310345,0.01448276
1.0,2,0.02655172,0.01879310
4.0,2,0.01793103,0.01706897
7.0,2,0.0300000,0.0187931
10.0,2,0.02827586,0.02051724
13.0,2,0.03000000,0.02741379

0.5,3,0.02396552,0.01362069
1.0,3,0.02224138,0.01879310
4.0,3,0.01534483,0.01706897
7.0,3,0.03000000,0.01965517
10.0,3,0.02396552,0.01879310
13.0,3,0.02655172,0.02224138

0.5,4,0.03000000,0.01534483
1.0,4,0.01793103,0.01448276
4.0,4,0.01275862,0.01965517
7.0,4,0.02655172,0.01965517
10.0,4,0.02137931,0.02310345
13.0,4,0.02224138,0.02741379

0.5,5,0.0300000,0.0162069
1.0,5,0.02137931,0.01879310
4.0,5,0.01103448,0.02137931
7.0,5,0.02396552,0.01534483
10.0,5,0.01965517,0.01965517
13.0,5,0.01965517,0.02741379

0.5,6,0.0300000,0.0162069
1.0,6,0.02051724,0.02051724
4.0,6,0.01017241,0.01620690
7.0,6,0.02310345,0.01879310
10.0,6,0.01620690,0.01534483
13.0,6,0.01706897,0.02310345

